post_id,target_ticker,tickers_detectados,fecha,clean_text,label,confianza,base,nota
257394638,NCLH,"[""NCLH""]",11/17/2020,hearing norwegian cruise lines offering will be priced between 20.80 and 21.00 related tickers nclh,bearish,3,contexto,Norwegian ofrecio un Secondary Public Offering abajo del precio publico de la empresa
445116100,CRWD,"[""CRWD""]",3/18/2022,crwd when crwd (crwd) moves investors should listen (crwd),neutral,3,-,
228220411,NCLH,"[""NCLH""]",7/16/2020,nclh top decliner of the day below 17.,bearish,3,texto,
407438504,DIS,"[""DIS""]",11/18/2021,sweepcast alerted dis with unusual options activity alerted on 135 put expiring 09-16-2022 worth 27k see more in profile,bearish,3,,
459716040,DIS,"[""DIS""]",5/15/2022,dis,unusable,3,-,
116537408,DIS,"[""DIS""]",3/16/2018,"0123456789 also netflix doesnt have secondary sources of income. dis has parks, studios to fund these endeavors",bullish,2,texto,
182682006,DIS,"[""DIS""]",11/6/2019,"although the technical rating is bad, dis does present a nice setup opportunity.",bullish ,3,texto,
50152386,TGT,"[""TGT""]",2/24/2016,tgt come network with other investors on -- social wallstreet com,neutral,3,texto,
48776722,CMG,"[""CMG""]",1/27/2016,cmg how is this holding up??? just drop of you aren't going manipulate it right,bearish,3,texto,El usuario estaba apostando a que bajara mas chipotle
372314662,DDOG,"[""DDOG""]",8/25/2021,"long-term forecasting of datadog, inc. ddog 08 25 2021",unusable,3,-,
498759250,CRWD,"[""CRWD""]",11/30/2022,"crwd guidance . for fy2023, crowdstrike raised the adjusted eps forecast to 1.49-1.52 from 1.31-1.33. revenue is seen between 2.22b and 2.23b. analysts were expecting fy23 adjusted eps of 1.32 on revenue of 2.23b.",bullish,3,cifra,
45028989,DIS,"[""DIS""]",11/5/2015,"dis the lucky number based on my calculations, 108.soon ..",bearish,3,contexto,El usuario estaba apostando a que disney bajara otros 5 dolares mas
216347510,DIS,"[""DIS""]",6/2/2020,dis hold buy and have patience.,bullish,3,texto,
11894098,CMG,"[""CMG""]",2/5/2013,agwarner gotta agree i would never want a naked position in a stock like cmg,bearish,2,contexto,El usuario estaba dandole la razon al experto Adam Warner
75972385,TGT,"[""AUPH"", ""AVGO"", ""CARA"", ""MYOS"", ""PANW"", ""TGT""]",3/2/2017,very small watch list. can't wait to wake up and go. good luck everyone auph panw myos avgo tgt cara,unusable,3,-,
202396937,NCLH,"[""NCLH""]",3/24/2020,nclh do y all think that the stock will dip back down to 9.00 10.00 today and shoot back up. kinda want to flip some of the earnings i ve made.,neutral,3,texto,Pregunta especulativa
248991633,NCLH,"[""CCL"", ""DIS"", ""NCLH"", ""RCL""]",10/8/2020,nclh ccl rcl dis ...,unusable,3,-,
392104534,CRWD,"[""CRWD""]",10/17/2021,crwd just in - new data and price prediction is out now for crowdstrike holdings inc,neutral,3,texto,Pregunta especulativa
56778359,CMG,"[""CMG""]",6/16/2016,cmg ... 380 for the shorts or the 405's for the bulls....let's face it... cmg should be dead into friday.,bearish,3,jerga,
191717939,DIS,"[""DIS""]",1/24/2020,"dis two months ago people were saying i was crazy, and after two months, this stock has done nothing. people might have missed opportunities somewhere else. hope next month disney can bounce back.",bullish,2,texto,
228210916,NCLH,"[""NCLH""]",7/16/2020,nclh,unusable,3,-,
34015268,CMG,"[""CMG""]",3/14/2015,stockcomments yes!. look at price of chipolte lately (cmg).,unusable,3,,
225021538,DIS,"[""DIS""]",7/2/2020,"dis ford, disney partner for bronco deal",bullish,3,contexto,
52518554,DIS,"[""DIS""]",4/7/2016,"carlosdcf i did a calendar call spread. but then, that is where we disagree, i see dis 98 next week. again, all opinions. goodluck",bearish,3,contexto,
258419651,DDOG,"[""AAPL"", ""AMD"", ""AMZN"", ""BA"", ""BYND"", ""DDOG"", ""FB"", ""MRNA"", ""NFLX"", ""NVDA"", ""PTON"", ""ROKU"", ""SPY"", ""SQ"", ""TSLA"", ""ZM""]",11/21/2020,join the 1 community with options signals success rates! high reward low risk trading! spy tsla aapl amzn roku nflx ba sq zm fb bynd ddog pton mrna amd nvda,unusable,3,-,
340585857,CRWD,"[""CRM"", ""CRWD"", ""DOCU"", ""PLTR"", ""SNOW""]",6/7/2021,pltr is another snow and crwd and docu. add more and more crm all add pltr,unusable,3,-,
220799306,NCLH,"[""NCLH""]",6/17/2020,nclh here comes the dumping,bearish,3,texto,
401118485,DDOG,"[""DDOG""]",11/4/2021,"ddog watching for consolidation with ultraalgo ,",bullish,3,texto,
222001289,NCLH,"[""NCLH""]",6/22/2020,nclh 20 ... 21 .. 22 by end of the week ..sailing soon,bullish,3,contexto,Catalizador de apertura del sector
86646469,CMG,"[""CMG""]",6/21/2017,"cmg 30,000 buy 417.71 in ah total shares traded 117,507",neutral,3,cifra,
161242259,CMG,"[""APTV"", ""BID"", ""CMG"", ""DAN"", ""PE"", ""PYPL"", ""SBNY"", ""SWN"", ""WIT"", ""ZNGA""]",4/18/2019,recap 4 18 pos comments pe cmg znga -neg comments dan aptv swn sbny pypl bid wit,bullish,3,texto,"CMG está agrupado explícitamente bajo los comentarios positivos del resumen, lo que determina la postura alcista"
423539695,DDOG,"[""DDOG""]",1/5/2022,ddog simulated 162.5 dollar calls for wednesday's open on stockorbit.,neutral,2,texto,
4604744,DIS,"[""DIS""]",8/3/2011,back from a long dis vaca and ended up buying a piece of it. joined the disney vacation club.. figure we go there almost every year anyway,unusable,3,-,
6943539,TGT,"[""BP"", ""GD"", ""GR"", ""HES"", ""HON"", ""TGT"", ""WMT""]",2/22/2012,israel englander s millennium management bullish about these stocks gr hon gd tgt wmt hes bp,bullish,3,texto,
500811600,CRWD,"[""CRWD""]",12/11/2022,sweepcast unusual options observed crwd with our scanner on 115 call expiring 03-17-2023 worth 29k use this in real-time with sweepcast - see profile for more info,neutral,3,texto,
491455448,TGT,"[""TGT""]",10/21/2022,tgt was analyzed by 37 analysts. the buy consensus is at 78%. so analysts seem to be mildly confident about tgt.,neutral,3,cifra,
375439342,DDOG,"[""DDOG""]",9/2/2021,"ddog datadog, inc. (ddog) stock slided on wednesday a -1.47% closing at 135.77 and marking the new all-time highs at 139.67.",neutral,3,cifra,No tiene postura clara
246424661,DDOG,"[""DDOG""]",9/25/2020,"ddog 15s. delayed filed sec form 4 chief financial officer obstler david m disposed 35,000 of class a common stock at average price",neutral,3,cifra,
205031171,CRWD,"[""BB"", ""CRWD"", ""MNDT"", ""PANW"", ""ZS""]",4/7/2020,"crwd bb zs feye panw because the pigs must be slaughtered. crwd's insiders have sold millions of shares since the expiration of the lockup period. and they keep selling to the masses while also registering new shares to sell them in the next days, see facts 2020-04-04 dir o leary sells 25,000 of crwd 2020-04-03 coo black registers 10,850 of crwd holder kurtz allegra tr registers 1,172 of crwd holder kurtz 2009 tr registers 15,476 of crwd holder kurtz alexander tr registers 1,172 of crwd cfo podbere registers 1,349 of crwd dir o leary registers 25,000 of crwd coo black sells 10,850 of crwd 2020-03-31 ceo kurtz sells 17,820 of crwd 2020-03-27 holder kurtz allegra tr registers 3,572 of crwd coo black registers 1,481 of crwd holder kurtz alexander tr registers 3,572 crwd ceo kurtz sells 17,820 of crwd 2020-03-26 chmn watzinger sells 20,000 of crwd 2020-03-25 cfo podbere sells 1,349 of crwd coo black sells 3,125 of crwd ceo kurtz sells 122,232 of crwd",bearish,3,texto,
339435819,CRWD,"[""CRWD"", ""DOCU""]",6/4/2021,crwd are folks dumping this to buy docu ? wrong move this is the best of the breed. going to 300 in 2022.,bullish,3,texto,
457019043,TGT,"[""AMZN"", ""KSS"", ""SHOP"", ""SPY"", ""TGT""]",5/5/2022,shop amzn kss spy tgt effect of massive inflation will be widespread. thank you biden and team!,bearish,3,texto,
94451164,TGT,"[""ABX"", ""DG"", ""GM"", ""KR"", ""TGT"", ""TSLA"", ""WMT""]",9/11/2017,these four fund managers secret to success don t go with your gut on stocks tsla abx kr gm dg wmt tgt,unusable,3,-,
459026149,DIS,"[""DIS""]",5/12/2022,dis green before close,bullish,3,contexto,Anuncio de los Q2 earnings
218406295,CRWD,"[""CRWD""]",6/9/2020,crwd this will see 50 in the next 2 months.,bearish,3,cifra,
452078889,CRWD,"[""CRWD""]",4/13/2022,"crwd challenging resistance, a close above this level opens the door for it to challenge the next resistance around 255",neutral,2,texto,
428088360,CRWD,"[""CRWD""]",1/19/2022,punky map the revenue. it's slowing. they seem to be buying customers...thats why their cost of sale is so high. hoping the customer will stay and eventually turn into profit. i don tknow how good that model works over long period of time. crwd does the same. they buy customers by discounting the product for 1st year by like 50% or more sometimes.,bearish,3,texto,
132836009,DIS,"[""DIS""]",8/6/2018,dis trade is evolving nicely but you really want to catch the big q4 swing off higher lows not the initial breakout,bullish,2,texto,
350376896,DIS,"[""AUUD"", ""BIDU"", ""DIS"", ""FB"", ""HOL""]",6/29/2021,"auud bidu dis fb hol i've made 264k with them,.,.. by their alert.. if you really want to make a huge profit on trading... choose this professional chat ,, bit.ly 2pxdgfjdgc",unusable,3,-,
166357112,DIS,"[""DIS""]",6/4/2019,dis 10% of daily volume after hours and a 1 2 mil buy at the close.,neutral,3,cifra,
64660541,DIS,"[""AAPL"", ""BABA"", ""DIS""]",10/13/2016,baba panic selling dip buying i understand in these. but shorting this mrkt now? i'd rather go all in buy wfc dis aapl,bullish,3,texto,
111462624,DIS,"[""DIS""]",2/2/2018,estimize revenue expectations are 0.15% lower than that of wall street for dis q1 reporting 02 06 amc,neutral,3,cifra,
405434569,CRWD,"[""CRWD""]",11/15/2021,just look at that chart! money to be made for both sides. crwd,bullish,3,cifra,
235177933,TGT,"[""TGT""]",8/10/2020,tgt can see 137 then 140 this week,bullish,3,cifra,
226182344,DIS,"[""BA"", ""DIS"", ""GMBL"", ""HOFV"", ""NKL""]",7/8/2020,ba nkl gmbl come over to hofv for closest thing to the nfl resort dis resort for adults.,unusable,3,-,
261314243,NCLH,"[""NCLH""]",12/3/2020,nclh spending a good amount of my time today blocking bears. no end to their silly nonsense.,bullish,3,jerga,
427616919,NCLH,"[""CCL"", ""NCLH""]",1/18/2022,"nclh ccl are we going down and getting ready for the big news? looking for some really big news about covid in the next couple of weeks. market pulling back to prepare for that day which will be up 1000 points and our stocks will be up 20%. that is the day the endemic news is released. trust the people, they are getting us out of this, i can feel it. in fauci we trust!",bullish,3,contexto,Postura alcista basada en el cambio de pandemia a endemia
241324684,CRWD,"[""CRWD""]",9/2/2020,crwd sold 1 2 my shares yesterday in staggered chunks 143-154 (the 154 in ah). been buying them back today 130-133.33 so far. -glta,bullish,2,texto,
259851488,CRWD,"[""CRWD""]",11/28/2020,crwd - crowdstrike holdings exotic insider insidertrading stocks fintechnews,unusable,3,-,
10620035,CMG,"[""CMG""]",11/19/2012,urbanomical really 290 is not out of the ? here with cmg but get some down side protection its cheap here just in case ...,bullish,2,texto,
89215761,CMG,"[""CMG""]",7/19/2017,cmg tempting ... np yet,neutral,3,texto,
186045084,DIS,"[""DIS""]",12/6/2019,is bill nye the science guy really causing dis to drip like this?,neutral,3,contexto ,Pregunta retorica sobre el fallo del caso de Bill Nye contra Diney
400183772,CRWD,"[""CRWD""]",11/3/2021,crwd seriously need a big bounce back day!,bullish,3,jerga,
369533857,DDOG,"[""DDOG""]",8/17/2021,ddog new article datadog announces deep database monitoring,neutral,3,texto,
214487619,DDOG,"[""DDOG""]",5/22/2020,ddog nice! finally breakout of from 71,bullish ,3,jerga,
49426754,DIS,"[""DIS"", ""SCTY""]",2/9/2016,"implied moves dis - roughly 6%, scty - 23%",neutral,3,cifra,
107652476,TGT,"[""CSCO"", ""FFIV"", ""LOW"", ""TGT"", ""XLNX""]",1/5/2018,ffiv low tgt xlnx csco in play today,neutral,2,jerga,
148520912,TGT,"[""TGT""]",12/20/2018,tgt way oversold,bullish,3,jerga,
