post_id,target_ticker,tickers_detectados,fecha,clean_text,label,confianza,base,nota
224748336,NCLH,"[""NCLH""]",2020-07-01,nclh 18.18 at open!,,,,
211713134,DDOG,"[""DDOG""]",2020-05-11,ddog big day today. we ll see how the er treats the stock on what could be a down day overall...,,,,
7855702,CMG,"[""CMG""]",2012-05-04,"my short level for cmg would be 401.03, most recent support of significance.",,,,
157315151,CMG,"[""CMG""]",2019-03-16,sonicmerlin soupmister probable check out cmg. it's in the same boat.,,,,
314407299,DIS,"[""DIS"", ""MA"", ""NVDA"", ""PYPL"", ""WMT""]",2021-04-12,"wmt nvda pypl dis ma !started trading with 3k ,, down to 1k ,, back up to 39k !!big thanks to this community!! bit.ly eagle investor offer",,,,
415778860,DIS,"[""DIS""]",2021-12-10,dis this puppy rockets today and i m tatting mickey mouse on my face money dontbetagainstthemouse,,,,
406269130,TGT,"[""SIG"", ""TGT"", ""ULTA"", ""WSM""]",2021-11-16,wsm tgt ulta sig she got her own money,,,,
442068305,NCLH,"[""CCL"", ""NCLH"", ""RCL""]",2022-03-08,rcl ccl nclh not worried. summer is coming. russia and ukraine talking. people have been missing cruises. including me,,,,
377081101,CRWD,"[""CRWD""]",2021-09-07,crwd who wants to be the honorable 30k watcher.,,,,
354151643,DDOG,"[""BKNG"", ""DBX"", ""DDOG"", ""DISH"", ""FDX"", ""GPRO"", ""GRPN"", ""ICE"", ""NWSA"", ""STMP"", ""TMUS"", ""TRIP"", ""UBER"", ""ZG""]",2021-07-09,"stocks making the biggest moves in the premarket tripadvisor, t-mobile us, fedex, uber more - bkng, trip, tmus, fdx, dish, ice, uber, zg, dbx, ddog, stmp, grpn, nwsa, gpro - stocks fedex, uber stockxpo",,,,
391390326,CRWD,"[""AMD"", ""CRWD"", ""ORCL"", ""ZS""]",2021-10-15,"closed positions for october 14 another good trading day! i closed crwd 21 and zs 16. i also sold half of orcl 5.90, and part of amd 5.60. cool.",,,,
218897020,NCLH,"[""NCLH""]",2020-06-10,nclh i am very unlucky in this business but today i averaged down at 19.55.,,,,
193333553,DIS,"[""DIS""]",2020-02-04,"walt disney eps beats by 0.09, beats on revenue dis disney disney disney",,,,
210075073,DIS,"[""DIS""]",2020-05-02,"dis my letter my grizzles -keep in mind this omits all care bears ... yo grizzle we had an awesome time with this stock thursday and friday ... i hope that you followed instructions and took profits ..the reason i advise this is because the unknown to the monday openings . after much study i am able to give the prediction for monday dis will go 103 .. so get ready to eat honey monday .. - dow will open red , and s p will also open red .... going into earning disney will be 98-102.... upon earnings .. dis will jump to 108 the will beat expectation and will not share any future guidance of the effective relation to covid 19... so bulls will win on earnings ... so play the money put on your bull mask for may 5th .. and lets have a great week .....",,,,
495282911,NCLH,"[""CCL"", ""NCLH""]",2022-11-10,ccl nclh time to fly !!!,,,,
235070183,DDOG,"[""DDOG""]",2020-08-10,"ddog back to 90s in a few weeks, maybe less",,,,
236990598,DDOG,"[""CLDR"", ""DDOG"", ""FSLY"", ""NET"", ""NOW"", ""TWLO""]",2020-08-17,ddog about to test out can see 90 soon . twlo net fsly now cldr need to gain momentum as well,,,,
96346947,TGT,"[""TGT""]",2017-09-29,target paving way for higher retail wages tgt,,,,
208474866,NCLH,"[""NCLH""]",2020-04-24,"nclh 386 million loan (roughly) seahawk 1 and 2 both based on 6 month floating libor 1%, libor rate at the moment is 1.02%. breakaway 1 is libor 0.90%, breakaway 2 is at libor 1.20%, breakaway 3 and 4 are both at libor 1.50%",,,,
25851542,DIS,"[""DIS""]",2014-08-18,dis awesome run since 87,,,,
354726795,CRWD,"[""CRWD""]",2021-07-11,crwd crwd engaged long from our daily focus list on 6 11 21 using this break above the dt line price pattern. the july 210 calls paid out 136%,,,,
216050776,DDOG,"[""DDOG""]",2020-05-31,ddog ddog is not a dog food company. they belong to software service. what i see... prices shot up significantly af,,,,
93275053,TGT,"[""AMZN"", ""COST"", ""TGT"", ""WMT""]",2017-08-28,3 reasons costco wholesale corporation stock could fall amzn cost wmt tgt,,,,
342778126,DDOG,"[""CCIV"", ""CLOV"", ""DDOG"", ""FSLY"", ""PLTR""]",2021-06-11,pltr breakout 30 cciv clov fsly ddog all join pltr,,,,
180796826,CRWD,"[""CRWD""]",2019-10-18,crwd the market is trying find the support in the middle of no where. crowd behavior will change abruptly as bugs kick in! then we have it!,,,,
199422287,CRWD,"[""CRWD""]",2020-03-10,crwd call sweep 223 mar(20) 42.5 calls opened for 5.40. 120k premium. 1 oi,,,,
435043267,DIS,"[""DIS"", ""META"", ""PYPL"", ""UBER""]",2022-02-10,dis pypl fb uber doing a 1k challenge starting tomorrow! options only,,,,
134741351,TGT,"[""TGT""]",2018-08-22,tgt market is loosing interest in you soon if we dont see movement,,,,
437804093,NCLH,"[""NCLH""]",2022-02-19,sweepcast observed nclh with unusual options activity alerted on 21 call expiring 04-03-2022 worth 26k check out premium room or sweepcast.com,,,,
256828260,NCLH,"[""NCLH""]",2020-11-16,nclh nov-13 17.00 calls option volume up 116.22 % volume 80 vs 37,,,,
40827348,DIS,"[""DIS""]",2015-08-05,dis who thinks it pops to 114 by eod?,,,,
67518806,DIS,"[""DIS""]",2016-11-20,dis says avatar land will open in orlando in summer of 2017,,,,
358357658,NCLH,"[""NCLH""]",2021-07-20,nclh bear scare,,,,
187884376,DIS,"[""DIS""]",2019-12-23,dis,,,,
245420424,DDOG,"[""DDOG""]",2020-09-22,ddog 90. eod,,,,
20395518,TGT,"[""TGT""]",2014-02-26,tgt daily levels to watch,,,,
166286068,CMG,"[""CMG""]",2019-06-04,cmg 660 next push,,,,
16110787,TGT,"[""TGT""]",2013-09-27,tgt target initiated with an outperform at pacific crest target 80.,,,,
235717074,NCLH,"[""NCLH""]",2020-08-12,nclh leopardmaster you still with us?,,,,
496488232,TGT,"[""TGT""]",2022-11-16,tgt problem is people don't want to pay inflated overpriced target pricing!,,,,
368123466,NCLH,"[""NCLH"", ""RCL""]",2021-08-13,nclh rcl,,,,
