feature,gain,weight,cover,gain_normalized
net_sentiment_mean,6.638985633850098,50.0,93.31539916992188,0.057333933479282354
prob_negative_mean,5.448073863983154,24.0,67.1627426147461,0.04704928158229537
neutral_ratio,5.251803874969482,39.0,64.69355010986328,0.045354304199498485
prob_positive_mean,5.124223232269287,42.0,68.06815338134766,0.044252524426919716
net_sentiment_max,4.944400787353516,80.0,76.73577880859375,0.042699587176639235
negative_ratio,4.912895202636719,18.0,93.11262512207031,0.042427506591140036
close,4.715775489807129,36.0,89.76546478271484,0.040725191037811616
bb_pct,4.691060543060303,36.0,83.42098999023438,0.040511754047452476
bb_lower,4.66139554977417,15.0,60.409236907958984,0.040255568713497454
bb_upper,4.651065349578857,21.0,39.32308578491211,0.04016635764369096
macd_signal,4.6416335105896,48.0,55.450626373291016,0.040084904774379086
stocktwits_native_sentiment,4.611678600311279,48.0,109.38541412353516,0.03982621573240881
weighted_sentiment,4.610641956329346,48.0,56.67405319213867,0.03981726332907797
prob_neutral_mean,4.547658443450928,35.0,48.46186828613281,0.03927334099864681
bb_width,4.519633769989014,61.0,62.61383056640625,0.03903132138109385
macd,4.511092662811279,27.0,60.94353485107422,0.038957560825223565
volume,4.431615352630615,28.0,33.914974212646484,0.03827119892201698
bb_middle,4.3908843994140625,15.0,50.45746994018555,0.03791944853557861
total_upvotes,4.304185390472412,36.0,52.91512680053711,0.03717072041873561
rsi,4.302608489990234,51.0,53.132415771484375,0.037157102388461885
mention_count,4.225177764892578,38.0,68.99940490722656,0.03648841468723137
net_sentiment_min,4.1221442222595215,64.0,67.57909393310547,0.035598622389845014
macd_hist,3.8836610317230225,47.0,53.911380767822266,0.033539094001587715
net_sentiment_std,3.87410306930542,25.0,29.447954177856445,0.033456551936930395
positive_ratio,3.7786507606506348,25.0,46.439701080322266,0.03263223078055463
total_comments,0.0,0.0,0.0,0.0
