feature,gain,weight,cover,gain_normalized
net_sentiment_mean,6.2711591720581055,43.0,100.7669677734375,0.05614885613930472
bb_middle,5.043606281280518,16.0,59.080013275146484,0.045157954971500686
neutral_ratio,4.91122579574585,31.0,58.50775909423828,0.043972685608373044
bb_upper,4.878516674041748,15.0,51.92662811279297,0.04367982431772207
prob_negative_mean,4.838039398193359,18.0,69.9039077758789,0.04331741081869168
bb_pct,4.775382995605469,32.0,69.58155822753906,0.04275641639348412
weighted_sentiment,4.720003128051758,45.0,65.89942932128906,0.04226057246240645
prob_positive_mean,4.715511798858643,52.0,58.51178741455078,0.04222035932320531
net_sentiment_max,4.649260520935059,77.0,70.143310546875,0.041627178163053766
stocktwits_native_sentiment,4.604854106903076,59.0,97.62960815429688,0.04122958510493882
bb_lower,4.599658012390137,12.0,75.7181396484375,0.04118306184579509
macd_signal,4.534438610076904,51.0,54.7734489440918,0.04059911958926721
close,4.52520227432251,35.0,87.80181884765625,0.04051642200923471
rsi,4.4251708984375,61.0,59.243896484375,0.03962079056696327
negative_ratio,4.345810413360596,28.0,79.47769927978516,0.03891023605264274
bb_width,4.313887119293213,56.0,56.73345947265625,0.03862441067380867
net_sentiment_min,4.1491923332214355,61.0,55.410499572753906,0.03714981505339438
macd,4.138127326965332,26.0,40.46118927001953,0.037050744462550085
positive_ratio,4.093130111694336,22.0,55.779048919677734,0.03664786166248055
mention_count,4.038462162017822,38.0,59.648353576660156,0.036158391891804975
macd_hist,3.9755184650421143,41.0,51.90312957763672,0.03559482517480756
total_upvotes,3.9615533351898193,39.0,53.610450744628906,0.03546978831231857
prob_neutral_mean,3.931856393814087,32.0,42.30892562866211,0.03520389659384443
volume,3.656015634536743,35.0,30.41195297241211,0.03273415492646188
net_sentiment_std,3.5925190448760986,21.0,40.50072479248047,0.03216563788194522
total_comments,0.0,0.0,0.0,0.0
