ticker,segmento,ventana,dia_rel,car_medio,car_medio_sin_alpha,n_eventos
CMG,baja,5,-5,-0.003366,-0.00287,9
CMG,baja,5,-4,-0.003973,-0.002979,9
CMG,baja,5,-3,-0.010393,-0.008903,9
CMG,baja,5,-2,-0.00808,-0.006093,9
CMG,baja,5,-1,-0.012641,-0.010157,9
CMG,baja,5,0,-0.013974,-0.010994,9
CMG,baja,5,1,0.003628,0.007105,9
CMG,baja,5,2,0.00104,0.005013,9
CMG,baja,5,3,0.003983,0.008453,9
CMG,baja,5,4,0.00317,0.008137,9
CMG,baja,5,5,0.002959,0.008423,9
CRWD,media,5,-5,0.023114,0.025318,9
CRWD,media,5,-4,0.017932,0.022342,9
CRWD,media,5,-3,0.031757,0.038372,9
CRWD,media,5,-2,0.018084,0.026903,9
CRWD,media,5,-1,0.009413,0.020436,9
CRWD,media,5,0,0.003329,0.016558,9
CRWD,media,5,1,-0.002514,0.01292,9
CRWD,media,5,2,-0.004829,0.012809,9
CRWD,media,5,3,-0.000526,0.019317,9
CRWD,media,5,4,0.003112,0.025159,9
CRWD,media,5,5,-0.006254,0.017998,9
DDOG,baja,5,-5,0.000365,0.002152,9
DDOG,baja,5,-4,0.016515,0.02009,9
DDOG,baja,5,-3,0.014861,0.020223,9
DDOG,baja,5,-2,0.009472,0.016622,9
DDOG,baja,5,-1,-0.007156,0.001782,9
DDOG,baja,5,0,0.020085,0.030811,9
DDOG,baja,5,1,0.017023,0.029536,9
DDOG,baja,5,2,0.006492,0.020793,9
DDOG,baja,5,3,-0.005088,0.011001,9
DDOG,baja,5,4,0.004015,0.021891,9
DDOG,baja,5,5,0.004694,0.024357,9
DIS,alta,5,-5,0.001403,0.000781,10
DIS,alta,5,-4,0.002225,0.000981,10
DIS,alta,5,-3,0.01702,0.015154,10
DIS,alta,5,-2,0.016609,0.014121,10
DIS,alta,5,-1,0.013026,0.009915,10
DIS,alta,5,0,0.022154,0.018421,10
DIS,alta,5,1,0.005585,0.00123,10
DIS,alta,5,2,0.005864,0.000887,10
DIS,alta,5,3,0.011043,0.005444,10
DIS,alta,5,4,0.012844,0.006622,10
DIS,alta,5,5,0.009989,0.003146,10
NCLH,alta,5,-5,-0.005201,-0.005669,9
NCLH,alta,5,-4,0.001069,0.000133,9
NCLH,alta,5,-3,0.004259,0.002855,9
NCLH,alta,5,-2,0.002705,0.000833,9
NCLH,alta,5,-1,0.002155,-0.000185,9
NCLH,alta,5,0,0.011328,0.00852,9
NCLH,alta,5,1,0.005546,0.00227,9
NCLH,alta,5,2,0.002656,-0.001088,9
NCLH,alta,5,3,0.01267,0.008458,9
NCLH,alta,5,4,0.023962,0.019282,9
NCLH,alta,5,5,0.025647,0.020499,9
TGT,media,5,-5,-0.011499,-0.010945,9
TGT,media,5,-4,-0.0079,-0.006792,9
TGT,media,5,-3,-0.002378,-0.000715,9
TGT,media,5,-2,0.002597,0.004814,9
TGT,media,5,-1,0.003488,0.00626,9
TGT,media,5,0,-0.027939,-0.024613,9
TGT,media,5,1,-0.02689,-0.023009,9
TGT,media,5,2,-0.024405,-0.01997,9
TGT,media,5,3,-0.031187,-0.026198,9
TGT,media,5,4,-0.035903,-0.03036,9
TGT,media,5,5,-0.027342,-0.021245,9
CMG,baja,10,-10,0.00051,0.001007,9
CMG,baja,10,-9,0.009188,0.010181,9
CMG,baja,10,-8,0.008691,0.010181,9
CMG,baja,10,-7,0.013164,0.015151,9
CMG,baja,10,-6,0.021334,0.023818,9
CMG,baja,10,-5,0.017968,0.020948,9
CMG,baja,10,-4,0.017361,0.020838,9
CMG,baja,10,-3,0.010941,0.014915,9
CMG,baja,10,-2,0.013255,0.017725,9
CMG,baja,10,-1,0.008693,0.013661,9
CMG,baja,10,0,0.00736,0.012824,9
CMG,baja,10,1,0.024962,0.030922,9
CMG,baja,10,2,0.022374,0.028831,9
CMG,baja,10,3,0.025317,0.032271,9
CMG,baja,10,4,0.024504,0.031955,9
CMG,baja,10,5,0.024293,0.03224,9
CMG,baja,10,6,0.013696,0.02214,9
CMG,baja,10,7,0.01297,0.02191,9
CMG,baja,10,8,0.009004,0.018441,9
