fecha,tipo_evento,descripcion,ticker,t0,alpha,beta,n_estimacion,car_m5_p5,car_m1_p1,car_post,car_pre,segmento,sent_pre_finbert,sent_post_finbert,sent_pre_probe,sent_post_probe,sent_pre_vader,sent_post_vader
2020-10-21,earnings,"EPS estimado=0.07, reportado=0.08, sorpresa%=9.03",CMG,2020-10-21,0.002068967621784483,0.905061018979979,220,-0.013313440459425455,-0.038514455755712565,-0.038042181167565484,0.024728740708140018,baja,0.09755792584079548,0.014915456269804889,0.2970013916492462,0.31345224380493164,0.032995517241379314,0.04870039682539682
2021-02-02,earnings,"EPS estimado=0.07, reportado=0.07, sorpresa%=-6.7",CMG,2021-02-02,0.001881822559008867,0.8896949927955623,220,0.008573215391001403,-0.0199700705287374,-0.016016163802173713,0.024589379193175123,baja,0.1184268751472836,0.028006248123279814,0.2945665717124939,0.25690537691116333,0.06634916169366298,0.04061481481481482
2021-04-21,earnings,"EPS estimado=0.1, reportado=0.11, sorpresa%=9.25",CMG,2021-04-21,0.000890239720399959,0.7709912929927202,220,-0.058584328658522034,-0.04313274683121118,-0.05202169737411809,-0.006562631284403946,baja,0.19542373485754388,0.09342845497861246,0.3323613405227661,0.2772824466228485,0.040213170087380616,0.047980067567567564
2021-07-20,earnings,"EPS estimado=0.13, reportado=0.15, sorpresa%=14.64",CMG,2021-07-20,-0.0004416709082372178,0.9405327805881082,220,0.13519421807965698,0.11846756166842709,0.14694725482346208,-0.011753036743805113,baja,0.06801337911625918,0.07868007184394325,0.36102157831192017,0.3201163113117218,0.04835045893719807,0.04620000000000001
2021-10-21,earnings,"EPS estimado=0.13, reportado=0.14, sorpresa%=10.97",CMG,2021-10-21,0.00041588562734164224,1.145132248740585,220,-0.08159476741679353,-0.03396909955668825,-0.04200088272639925,-0.03959388469039429,baja,-0.023956447286082917,0.017120399894580866,0.2502460181713104,0.3566175401210785,0.03593748148148149,0.04491666666666667
2022-02-08,earnings,"EPS estimado=0.11, reportado=0.11, sorpresa%=5.43",CMG,2022-02-08,-0.0004040669199644644,1.1742925704357965,220,0.0728719007316706,0.06428392683759335,0.08539044670632293,-0.012518545974652323,baja,-0.08870964821976526,-0.00531663578473391,0.256978303194046,0.28854426741600037,0.021111811521811526,0.017887280701754386
2022-04-26,earnings,"EPS estimado=0.11, reportado=0.11, sorpresa%=1.14",CMG,2022-04-26,4.2530977797997173e-05,1.4022080849827194,220,-0.021188986813435784,0.02685145983500329,-0.005911908843499333,-0.015277077969936445,baja,0.013361984427094183,-0.02458688853137007,0.24202337861061096,0.19666863977909088,0.01076633823529412,0.018528471217873394
2022-07-26,earnings,"EPS estimado=0.18, reportado=0.19, sorpresa%=2.84",CMG,2022-07-26,-0.0007330876308429094,1.2593756520245476,220,0.09548334797452739,0.10684670059369132,0.1285438621419531,-0.03306051416742567,baja,-0.09034387905801382,0.01800689488300122,0.3094829022884369,0.2841320037841797,0.05194616809116809,0.04450416666666666
2022-10-25,earnings,"EPS estimado=0.18, reportado=0.19, sorpresa%=3.48",CMG,2022-10-25,0.000749783790944358,1.3160923231288393,220,-0.1108105852199243,-0.07549870140111108,-0.0664933547240635,-0.04431723049586081,baja,0.037411612637655495,-0.0306804139440862,0.37449419498443604,0.277521014213562,0.03514831168831169,0.0344099537037037
2020-12-02,earnings,"EPS estimado=nan, reportado=0.02, sorpresa%=18281.82",CRWD,2020-12-02,0.004581540973833615,0.8202779405784626,220,0.06105479829412719,0.036121257409978624,0.10284599040148104,-0.04179119210735387,media,0.05097273051894974,0.07310683021399503,0.3193858563899994,0.3709207773208618,0.06078216775599129,0.08616666666666668
2021-03-16,earnings,"EPS estimado=0.02, reportado=0.03, sorpresa%=53.37",CRWD,2021-03-16,0.00781885109662041,0.4174803487265281,220,-0.02312708712550511,0.01950539763738359,-0.08543250153358127,0.06230541440807618,media,0.013203237828248265,0.05090093612959449,0.26955941319465637,0.3112727105617523,0.03721708333333333,0.03683504273504273
2021-06-03,earnings,"EPS estimado=0.01, reportado=0.03, sorpresa%=74.09",CRWD,2021-06-03,0.0027961552201059073,0.9592691275078581,220,0.03313206778215826,-0.08452765229410288,0.015619354153806685,0.01751271362835157,media,0.07470684140025748,0.06808796528150257,0.34811970591545105,0.40015938878059387,0.06264096017069701,0.07838748057498057
2021-08-31,earnings,"EPS estimado=0.02, reportado=0.03, sorpresa%=28.93",CRWD,2021-08-31,0.002243280546432306,0.8787853339907798,220,0.04995272100139542,-0.05338276827603294,-0.08574596536603694,0.13569868636743232,media,0.08568252603523432,0.0552395522284011,0.3900500237941742,0.3485147953033447,0.08496500000000001,0.08387083333333334
2021-12-01,earnings,"EPS estimado=0.02, reportado=0.04, sorpresa%=72.69",CRWD,2021-12-01,0.00252922988665655,1.169237388156404,220,-0.16109461268924538,-0.05591368584164897,-0.08160836876522304,-0.07948624392402234,media,-0.10541676306165755,-0.04148433453713854,0.21269440650939941,0.27708351612091064,0.043855000000000005,0.03634583333333333
2022-03-09,earnings,"EPS estimado=0.05, reportado=0.08, sorpresa%=47.93",CRWD,2022-03-09,-0.0012130590773061186,1.1825736253167942,220,-0.025437515434142407,0.13082711366192906,0.15454859733182738,-0.1799861127659698,media,-0.09648133565671742,-0.022565422401142617,0.17525601387023926,0.3521939218044281,0.0038200000000000013,0.010125
2022-06-02,earnings,"EPS estimado=0.06, reportado=0.08, sorpresa%=33.21",CRWD,2022-06-02,0.0005007206647319527,1.5474543030589734,220,0.19290642372585207,0.025426144162867856,0.10701029698366726,0.0858961267421848,media,0.017010831674860456,0.07549834336764831,0.19037345051765442,0.2981245219707489,0.014728216374269007,0.042793530701754394
2022-08-30,earnings,"EPS estimado=0.07, reportado=0.09, sorpresa%=31.87",CRWD,2022-08-30,-0.00012110013681291319,1.8737432372633893,220,-0.0008895659109898514,-0.014116499998014918,-0.08455775151958174,0.08366818560859188,media,0.021824812269873088,-0.027297505869903715,0.3180091381072998,0.29190781712532043,0.05639281481481482,0.033814214513556616
2022-11-29,earnings,"EPS estimado=0.08, reportado=0.1, sorpresa%=26.5",CRWD,2022-11-29,0.0007072758870681813,1.8116460772979852,220,-0.1827877935824864,-0.18931548022743358,-0.1836845527059181,0.0008967591234316924,media,0.0696442293708592,-0.008176535164238883,0.37021058797836304,0.26686328649520874,0.04923314814814815,0.03565416666666667
2020-11-10,earnings,"EPS estimado=0.01, reportado=0.05, sorpresa%=438.21",DDOG,2020-11-10,0.004877821972806871,0.7601629998756751,220,-0.1136736110365325,-0.16957097765225185,-0.11239605479980679,-0.0012775562367256937,baja,0.10680462269867655,0.041365284918962665,0.3417254388332367,0.3583986461162567,0.07716060699062233,0.047404166666666664
2021-02-11,earnings,"EPS estimado=0.02, reportado=0.06, sorpresa%=231.49",DDOG,2021-02-11,0.0036354303378822927,0.7531663278952048,220,-0.10241353548293428,-0.05759641463073713,-0.11339125758908822,0.010977722106153939,baja,0.10668263648811502,0.02000781902805986,0.3830697238445282,0.2902497351169586,0.06708799007444169,0.05360651288426057
2021-05-06,earnings,"EPS estimado=0.03, reportado=0.06, sorpresa%=93.36",DDOG,2021-05-06,0.002031941299909388,0.798370093908984,220,-0.16693136649372894,-0.019923234412191515,0.01286990120543881,-0.1798012676991677,baja,-0.034264558063940506,-0.0034458215535765452,0.16796232759952545,0.2658762037754059,0.05312795093795094,0.06024599779603285
2021-08-05,earnings,"EPS estimado=0.03, reportado=0.09, sorpresa%=170.92",DDOG,2021-08-05,-8.209212849732332e-05,1.1927616230767968,220,0.15212705080931432,0.1472313342113465,0.12104023906875072,0.031086811740563575,baja,0.11362414444125797,0.06930515662340138,0.2912381589412689,0.3712010085582733,0.06833755760368664,0.05814583333333334
2021-11-04,earnings,"EPS estimado=0.06, reportado=0.13, sorpresa%=110.53",DDOG,2021-11-04,0.001004464459094636,1.0873963175961259,220,0.1664034880333931,0.1055000339238405,0.16024974117879717,0.006153746854595944,baja,0.08848302024127425,0.07725464297885384,0.335851788520813,0.378817081451416,0.09329826315789475,0.04123541666666667
2022-02-10,earnings,"EPS estimado=0.11, reportado=0.2, sorpresa%=74.05",DDOG,2022-02-10,0.0009600233300482079,1.6500228490228037,220,0.23055312329160393,0.14158954912983998,0.14274991864819497,0.08780320464340896,baja,-0.05209014699129122,0.06910387673246095,0.26227685809135437,0.3528364896774292,0.03492857142857143,0.07498760683760684
2022-05-05,earnings,"EPS estimado=0.11, reportado=0.24, sorpresa%=113.24",DDOG,2022-05-05,0.00284233989821414,2.023019401641512,220,-0.09539195320338181,-0.027013862855607737,-0.015392231779584615,-0.07999972142379719,baja,0.010155110326569072,-0.02250317427638134,0.21969778835773468,0.24465148150920868,0.052000056980056976,0.04728330773169483
2022-08-04,earnings,"EPS estimado=0.15, reportado=0.24, sorpresa%=55.5",DDOG,2022-08-04,0.0004992314522606823,2.157295375446518,220,0.10079948978175249,0.03487481285784977,-0.007614975538954349,0.10841446532070684,baja,0.03838168380345319,-0.02614124857366235,0.24792294204235077,0.23080860078334808,0.03914328619909502,0.03778146441372248
2022-11-03,earnings,"EPS estimado=0.16, reportado=0.23, sorpresa%=43.71",DDOG,2022-11-03,0.0003189395547993062,2.221638891656497,220,-0.12922553670772224,-0.08712910034540504,-0.08146784100701714,-0.04775769570070511,baja,-0.00823859909234349,-0.016688900508965078,0.21741843223571777,0.28584057092666626,0.02609529411764706,0.03800128749866553
2020-11-12,earnings,"EPS estimado=-0.65, reportado=-0.2, sorpresa%=69.3",DIS,2020-11-12,-0.0010550615064689071,1.0770438829653461,220,0.10080065882758765,-0.03521896450571084,0.03203989369555906,0.06876076513202858,alta,-0.021298972489312295,-0.033236125744103145,0.3008599579334259,0.25752532482147217,0.057440000000000005,0.06574999999999999
2021-02-11,earnings,"EPS estimado=-0.34, reportado=0.32, sorpresa%=194.77",DIS,2021-02-11,0.0007539466788200827,1.0908851205850636,220,0.010398486873652356,-0.011614048406858715,-0.03608151431280353,0.04648000118645588,alta,0.06482325698714704,-0.0065991709028215455,0.37113168835639954,0.2852354049682617,0.076105,0.031041666666666672
2021-05-13,earnings,"EPS estimado=0.26, reportado=0.79, sorpresa%=204.08",DIS,2021-05-13,0.0010573564738510235,1.0866199057268686,220,-0.06754847669361301,-0.054114681329019115,-0.0693206068977874,0.0017721302041744033,alta,-0.009606230652425439,0.018089635165718695,0.24982862174510956,0.28395864367485046,0.025365,0.07645416666666667
2021-08-12,earnings,"EPS estimado=0.55, reportado=0.8, sorpresa%=45.48",DIS,2021-08-12,0.00044801270877819945,0.8653622107575658,220,-0.0022258327901240414,0.014819824812235975,-0.02228656103893311,0.020060728248809067,alta,-0.010945304324850441,-0.001870647829491644,0.23062701523303986,0.2519085109233856,0.04128,0.04091666666666667
2021-11-10,earnings,"EPS estimado=0.5, reportado=0.38, sorpresa%=-23.41",DIS,2021-11-10,0.0002648193956092499,0.9867928804104285,220,-0.08933081800309885,-0.07436978682010933,-0.10750356329586809,0.018172745292769268,alta,-0.03309225907549262,-0.04043873146486779,0.2602986693382263,0.2413782924413681,0.06980499999999999,0.02420833333333333
2022-02-09,earnings,"EPS estimado=0.62, reportado=1.06, sorpresa%=71.97",DIS,2022-02-09,-0.0017538417282452656,0.853591897321644,220,0.11142385012872189,0.06769287029983764,0.11283193832651175,-0.0014080881977898679,alta,-0.031977762952446934,0.0049030306749045845,0.2465876042842865,0.25966981053352356,0.03424,0.04131666666666666
2022-05-11,earnings,"EPS estimado=1.19, reportado=1.08, sorpresa%=-9.15",DIS,2022-05-11,-0.0016008092996130225,1.010432765552099,220,-0.005461147793137305,-0.005374984673349823,-0.0030235438218690243,-0.002437603971268281,alta,-0.08900108973728493,-0.06656245227980737,0.19739331305027008,0.2329772561788559,0.022219999999999997,0.04284583333333333
2022-08-10,earnings,"EPS estimado=0.99, reportado=1.09, sorpresa%=9.99",DIS,2022-08-10,-0.002138040550583933,1.0153034349784393,220,0.14122803477628357,0.06669044063657878,0.10542352230305464,0.03580451247322894,alta,-0.06819459555670619,0.021592774246043212,0.25927734375,0.3070264756679535,0.015040000000000001,0.04719583333333333
2022-11-08,earnings,"EPS estimado=0.56, reportado=0.3, sorpresa%=-46.87",DIS,2022-11-08,-0.0013870219232922805,1.0731023821967125,220,-0.11720305567291715,-0.1181585745108057,-0.08322219837713042,-0.03398085729578671,alta,-0.04306036065099761,-0.014917810913175344,0.3031476140022278,0.2183058261871338,0.05320499999999999,0.0376125
2020-11-09,earnings,"EPS estimado=-2.22, reportado=-2.35, sorpresa%=-5.86",NCLH,2020-11-09,-0.002868097654279542,2.128325910576335,220,0.09547140462362619,0.17214554347968566,0.20765908861244525,-0.11218768398881908,alta,-0.016270167012698948,0.024960747960722073,0.2857649326324463,0.34261226654052734,0.045955,0.061925
2021-02-25,earnings,"EPS estimado=-2.16, reportado=-2.33, sorpresa%=-7.95",NCLH,2021-02-25,-0.0008255313082554259,2.167353967582537,220,0.36635299444716835,0.08212552057307004,0.14576123911193978,0.2205917553352285,alta,0.06432708683423698,0.05486236283710847,0.34293097257614136,0.4370826482772827,0.041605,0.06984166666666666
2021-05-06,earnings,"EPS estimado=-2.06, reportado=-2.03, sorpresa%=1.69",NCLH,2021-05-06,0.0019187640199234545,2.219037769405918,220,-0.11248727246528566,-0.09779319110792153,-0.09975094343374015,-0.012736329031545493,alta,0.01765645211096853,-0.023696697708995396,0.28706008195877075,0.24540746212005615,0.069845,0.050249999999999996
2021-08-06,earnings,"EPS estimado=-2.0, reportado=-1.93, sorpresa%=3.38",NCLH,2021-08-06,0.002904845071701013,1.3479375956341637,220,-0.052218559490915695,0.07165208431865326,0.007172832939402289,-0.05939139243031799,alta,-0.09926342457067222,0.0045705061716338,0.20797014236450195,0.3120215833187103,0.023815,0.049070833333333334
2021-11-03,earnings,"EPS estimado=-2.0, reportado=-2.17, sorpresa%=-8.46",NCLH,2021-11-03,0.00045413083931697054,2.0045854179278417,220,-0.0015299702162297445,-0.04005711631728743,-0.009645725386850762,0.008115755170621013,alta,0.09222657935251616,0.03444727015362501,0.3120307922363281,0.29089686274528503,0.04445786435070306,0.06325787037037038
2022-02-24,earnings,"EPS estimado=-1.61, reportado=-1.95, sorpresa%=-20.87",NCLH,2022-02-24,-0.002488751240267517,1.678353885071108,220,-0.12373125167097702,-0.05900260627678378,-0.07622934239183927,-0.04750190927913774,alta,0.017997954387683424,-0.06339437294518574,0.363431453704834,0.24436737596988678,0.045895,0.008279166666666666
2022-05-10,earnings,"EPS estimado=-1.41, reportado=-1.82, sorpresa%=-29.4",NCLH,2022-05-10,-0.0018681800635606163,2.0745553270240484,220,-0.08992236220959407,-0.05922877470306338,0.027944748979998338,-0.11786711118959242,alta,0.01949877605773509,0.00148039853935511,0.2521516680717468,0.271688312292099,0.059435,0.05676024220032841
2022-08-09,earnings,"EPS estimado=-0.83, reportado=-1.14, sorpresa%=-36.78",NCLH,2022-08-09,-0.0012298903481285527,2.144872081447437,220,0.12658495819721025,0.00884023295515686,0.008533063856228526,0.11805189434098172,alta,0.01945417205104604,0.08853465373653711,0.29349207878112793,0.35088562965393066,0.039225,0.06251250000000001
2022-11-08,earnings,"EPS estimado=-0.69, reportado=-0.64, sorpresa%=7.12",NCLH,2022-11-08,-0.00020935925048650523,2.0959697213635136,220,0.022308822162511472,-0.053121294951876244,-1.1844954895697674e-05,0.02232066711740717,alta,0.0030419224826619016,0.016093562314442048,0.2574147582054138,0.30162739753723145,0.038759999999999996,0.0692625
2020-11-18,earnings,"EPS estimado=1.61, reportado=2.79, sorpresa%=73.77",TGT,2020-11-18,0.00093182408649766,0.6963493808079078,220,0.1072533802050741,0.04798177273358437,0.08942703966745116,0.01782634053762295,media,0.09084100675115006,0.11321835676014112,0.3101358115673065,0.32113221287727356,0.07724619047619048,0.09201250000000001
2021-03-02,earnings,"EPS estimado=2.54, reportado=2.67, sorpresa%=5.2",TGT,2021-03-02,0.002296629113683897,0.6571421260093189,220,-0.07608385209711169,-0.06155831015880981,-0.044694417920254345,-0.03138943417685735,media,0.07083818041253351,0.07873944766664256,0.20907297730445862,0.26292407512664795,0.06693420997920999,0.03955416666666667
2021-05-19,earnings,"EPS estimado=2.23, reportado=3.69, sorpresa%=65.19",TGT,2021-05-19,0.0018221879709471762,0.5374484799589309,220,0.06160687358222591,0.054524567838183186,0.07726174076468184,-0.0156548671824559,media,0.05630647042766214,0.09785639390411077,0.2902193069458008,0.3058531582355499,0.020134999999999997,0.07231698717948717
2021-08-18,earnings,"EPS estimado=3.53, reportado=3.64, sorpresa%=3.06",TGT,2021-08-18,0.001448766920194991,0.6567625632258511,220,-0.07051240371057858,-0.0593779581305768,-0.028799173304070957,-0.04171323040650763,media,0.12682964679785072,0.010506810892062887,0.27289828658103943,0.25185728073120117,0.061475000000000016,0.05790833333333334
2021-11-17,earnings,"EPS estimado=2.81, reportado=3.03, sorpresa%=7.85",TGT,2021-11-17,0.000703889309762069,0.8686561471395237,220,-0.03159916560601894,-0.049310216302285964,-0.07133651303924342,0.039737347433224476,media,0.04743608559431403,-0.02427114265738056,0.20887887477874756,0.25976601243019104,0.0771467316017316,0.05787083333333334
2022-03-01,earnings,"EPS estimado=2.84, reportado=3.19, sorpresa%=12.26",TGT,2022-03-01,0.0005017884381462151,0.8427596825333048,220,0.0592115831481362,0.12408474946637987,0.08754267700523256,-0.028331093857096333,media,-0.016511490960708922,0.04001511798768318,0.2549007833003998,0.27151259779930115,0.04233722222222222,0.06100953768453767
2022-05-18,earnings,"EPS estimado=3.06, reportado=2.19, sorpresa%=-28.53",TGT,2022-05-18,-0.00045668944094784375,0.8984682538754726,220,-0.28476382833993,-0.2893693008679219,-0.2530759086045345,-0.03168791973539556,media,-0.051655897137020276,-0.14934461223892867,0.18408821523189545,0.12085434049367905,0.026245702426564498,0.006641666666666666
2022-08-17,earnings,"EPS estimado=0.72, reportado=0.39, sorpresa%=-45.47",TGT,2022-08-17,-0.0014549224548222404,1.1006211723078485,220,0.006260849849266727,0.012577585475108054,-0.047704252832504686,0.053965102681771404,media,-0.012886634971946476,-0.08935681709748072,0.2061639130115509,0.21413421630859375,0.032780000000000004,-0.010156250000000002
