enfoque,ventana,segmento,n,rho,p,analisis,aciertos,precision,ic95_bajo,ic95_alto,rho_abs_observado,percentil_en_placebo_permutacion,percentil_en_placebo_fechas,supera_ambos_p95
finbert,pre,todos,55.0,-0.1696,0.2157,correlacion,,,,,,,,
finbert,pre,alta,19.0,-0.1123,0.6472,correlacion,,,,,,,,
finbert,pre,media,18.0,-0.0134,0.9579,correlacion,,,,,,,,
finbert,pre,baja,18.0,-0.3395,0.1681,correlacion,,,,,,,,
finbert,post,todos,55.0,0.4288,0.0011,correlacion,,,,,,,,
finbert,post,alta,19.0,0.4491,0.0537,correlacion,,,,,,,,
finbert,post,media,18.0,0.5769,0.0122,correlacion,,,,,,,,
finbert,post,baja,18.0,0.2879,0.2466,correlacion,,,,,,,,
probe,pre,todos,55.0,-0.072,0.6014,correlacion,,,,,,,,
probe,pre,alta,19.0,-0.2035,0.4034,correlacion,,,,,,,,
probe,pre,media,18.0,-0.1538,0.5424,correlacion,,,,,,,,
probe,pre,baja,18.0,-0.129,0.6099,correlacion,,,,,,,,
probe,post,todos,55.0,0.4343,0.0009,correlacion,,,,,,,,
probe,post,alta,19.0,0.5404,0.0169,correlacion,,,,,,,,
probe,post,media,18.0,0.5253,0.0252,correlacion,,,,,,,,
probe,post,baja,18.0,0.1744,0.4888,correlacion,,,,,,,,
vader,pre,todos,55.0,-0.1946,0.1546,correlacion,,,,,,,,
vader,pre,alta,19.0,-0.414,0.078,correlacion,,,,,,,,
vader,pre,media,18.0,-0.1331,0.5985,correlacion,,,,,,,,
vader,pre,baja,18.0,0.0588,0.8167,correlacion,,,,,,,,
vader,post,todos,55.0,0.3489,0.009,correlacion,,,,,,,,
vader,post,alta,19.0,0.393,0.096,correlacion,,,,,,,,
vader,post,media,18.0,0.4097,0.0913,correlacion,,,,,,,,
vader,post,baja,18.0,0.0258,0.9191,correlacion,,,,,,,,
finbert,,,55.0,,0.1048,direccional,21.0,0.3818,0.2541,0.5227,,,,
probe,,,55.0,,0.2806,direccional,23.0,0.4182,0.2865,0.5589,,,,
vader,,,55.0,,0.2806,direccional,23.0,0.4182,0.2865,0.5589,,,,
finbert,,,,,,placebo,,,,,0.4288,100.0,99.7,True
probe,,,,,,placebo,,,,,0.4343,99.9,99.9,True
vader,,,,,,placebo,,,,,0.3489,99.5,99.1,True
