enfoque,evaluado_en,n,accuracy,macro_f1
FinBERT off-the-shelf,test completo,266,0.4586,0.4012
FinBERT off-the-shelf,test camilo,146,0.5137,0.4187
FinBERT off-the-shelf,test esteban,120,0.3917,0.3699
VADER,test completo,266,0.3722,0.3409
VADER,test camilo,146,0.3767,0.299
VADER,test esteban,120,0.3667,0.3573
Baseline mayoritaria (neutral),test completo,266,0.4211,0.1975
Baseline mayoritaria (neutral),test camilo,146,0.5411,0.2341
Baseline mayoritaria (neutral),test esteban,120,0.275,0.1438
probe (train=camilo),test completo,266,0.5639,0.5194
probe (train=camilo),test camilo,146,0.5959,0.5368
probe (train=camilo),test esteban,120,0.525,0.4974
PLACEBO probe (train=camilo),test completo,266,0.3383,0.2582
PLACEBO probe (train=camilo),test camilo,146,0.4041,0.2788
PLACEBO probe (train=camilo),test esteban,120,0.2583,0.2218
probe (train=esteban),test completo,266,0.4098,0.4006
probe (train=esteban),test camilo,146,0.2945,0.2772
probe (train=esteban),test esteban,120,0.55,0.5399
PLACEBO probe (train=esteban),test completo,266,0.3684,0.3246
PLACEBO probe (train=esteban),test camilo,146,0.3356,0.2871
PLACEBO probe (train=esteban),test esteban,120,0.4083,0.3531
probe (train=ambos),test completo,266,0.5113,0.4775
probe (train=ambos),test camilo,146,0.5342,0.4773
probe (train=ambos),test esteban,120,0.4833,0.4662
PLACEBO probe (train=ambos),test completo,266,0.3346,0.3147
PLACEBO probe (train=ambos),test camilo,146,0.3288,0.2928
PLACEBO probe (train=ambos),test esteban,120,0.3417,0.329
