fraccion,n_train,semilla,accuracy,macro_f1
0.25,91,42,0.47368421052631576,0.4509760820641649
0.25,91,43,0.5300751879699248,0.4908871713436163
0.25,91,44,0.44360902255639095,0.41105025192568395
0.5,182,42,0.48120300751879697,0.45933201469438023
0.5,182,43,0.518796992481203,0.4979437911656485
0.5,182,44,0.4924812030075188,0.4444307944307944
0.75,272,42,0.5075187969924813,0.48004832349323284
0.75,272,43,0.4924812030075188,0.46600042820619386
0.75,272,44,0.5150375939849624,0.49109607875488087
1.0,363,42,0.5075187969924813,0.4753646243239171
1.0,363,43,0.5150375939849624,0.48956022074301647
1.0,363,44,0.48120300751879697,0.4578302829361956
