post_id,target_ticker,label_camilo,label_esteban,confianza_camilo,confianza_esteban,confianza_total,clean_text_camilo,nota_camilo,nota_esteban
372314662,DDOG,unusable,neutral,3,3,6,"long-term forecasting of datadog, inc. ddog 08 25 2021",,
401118485,DDOG,bullish,neutral,3,3,6,"ddog watching for consolidation with ultraalgo ,",,
50152386,TGT,neutral,unusable,3,3,6,tgt come network with other investors on -- social wallstreet com,,
498629770,DIS,unusable,bearish,3,3,6,dis strange world another a-z movement bust stay woke go broke definitely not taking my kids to see this garbage,,
225021538,DIS,bullish,neutral,3,3,6,"dis ford, disney partner for bronco deal",,
257394638,NCLH,bearish,neutral,3,3,6,hearing norwegian cruise lines offering will be priced between 20.80 and 21.00 related tickers nclh,Norwegian ofrecio un Secondary Public Offering abajo del precio publico de la empresa,
405434569,CRWD,bullish,neutral,3,3,6,just look at that chart! money to be made for both sides. crwd,,
52518554,DIS,bearish,bullish,3,2,5,"carlosdcf i did a calendar call spread. but then, that is where we disagree, i see dis 98 next week. again, all opinions. goodluck",,
498759250,CRWD,bullish,neutral,3,2,5,"crwd guidance . for fy2023, crowdstrike raised the adjusted eps forecast to 1.49-1.52 from 1.31-1.33. revenue is seen between 2.22b and 2.23b. analysts were expecting fy23 adjusted eps of 1.32 on revenue of 2.23b.",,
482357659,CRWD,bullish,neutral,3,2,5,"measured over the past 5 years, crwd shows a very strong growth in revenue 94.09% on average per year.",,
4604744,DIS,unusable,neutral,3,2,5,back from a long dis vaca and ended up buying a piece of it. joined the disney vacation club.. figure we go there almost every year anyway,,
45028989,DIS,bearish,bullish,3,2,5,"dis the lucky number based on my calculations, 108.soon ..",El usuario estaba apostando a que disney bajara otros 5 dolares mas,
407438504,DIS,bearish,neutral,3,2,5,sweepcast alerted dis with unusual options activity alerted on 135 put expiring 09-16-2022 worth 27k see more in profile,,
102955509,CMG,bearish,neutral,3,2,5,cmg wait till eod to initiate position. overall this changes nothing till the actual announcement,El CEO de chipotle se acababa de retirar,
345923507,NCLH,unusable,neutral,3,2,5,ccl rcl nclh cant wait for my cruise from la to cabo. like a boss!,,
228220411,NCLH,bearish,neutral,3,2,5,nclh top decliner of the day below 17.,,
215659788,DDOG,unusable,neutral,3,2,5,stats today we are profitable on all our swings (except gogo calls). gan hit our target for .92r. ddog exit .93r teva exit .94r uber exit .57r tast exit .69r eb exit .74r sdc exit .46r. 5.25r from those for the day. over 20r for me on the month!,,
161242259,CMG,bullish,neutral,3,2,5,recap 4 18 pos comments pe cmg znga -neg comments dan aptv swn sbny pypl bid wit,"CMG está agrupado explícitamente bajo los comentarios positivos del resumen, lo que determina la postura alcista",
146307775,TGT,bullish,unusable,3,2,5,tgt told ya,,
6943539,TGT,bullish,neutral,3,2,5,israel englander s millennium management bullish about these stocks gr hon gd tgt wmt hes bp,,
10620035,CMG,bullish,bearish,2,2,4,urbanomical really 290 is not out of the ? here with cmg but get some down side protection its cheap here just in case ...,,
355522014,DIS,bullish,neutral,3,1,4,dis cnbc dis pump!!!,,
34015268,CMG,unusable,bullish,3,1,4,stockcomments yes!. look at price of chipolte lately (cmg).,,
452078889,CRWD,neutral,bullish,2,2,4,"crwd challenging resistance, a close above this level opens the door for it to challenge the next resistance around 255",,
185376470,TGT,neutral,unusable,2,2,4,wmt tgt spy dia went to walmart at 1. slower than a saturday afternoon. no lines no empty shelves. either economy slow or black fri ng,,
11894098,CMG,bearish,neutral,2,2,4,agwarner gotta agree i would never want a naked position in a stock like cmg,El usuario estaba dandole la razon al experto Adam Warner,
50972232,CMG,bearish,neutral,3,1,4,cmg there's the break.,"Tendrias que saber que el precio de chipotle estaba bajando, y en ese dia cerraron un restaurante en Billerca, Massachusets porque 4 empleados cayeron ante el norovirus",
107652476,TGT,neutral,unusable,2,2,4,ffiv low tgt xlnx csco in play today,,
56778359,CMG,bearish,neutral,3,1,4,cmg ... 380 for the shorts or the 405's for the bulls....let's face it... cmg should be dead into friday.,,
