ticker,dia,n_mensajes,finbert,probe,vader
CMG,2020-01-01,13,0.0123,0.1119,0.0245
CMG,2020-01-02,20,0.0624,0.3095,0.0087
CMG,2020-01-03,20,0.2557,0.4538,0.0332
CMG,2020-01-04,17,0.0786,0.4929,0.1099
CMG,2020-01-05,13,0.0224,0.4402,0.054
CMG,2020-01-06,20,0.1272,0.4876,-0.0119
CMG,2020-01-07,20,0.0129,0.177,0.017
CMG,2020-01-08,20,0.0991,0.3265,0.0357
CMG,2020-01-09,20,0.0951,0.4411,0.0456
CMG,2020-01-10,20,0.1935,0.4686,0.0548
CMG,2020-01-11,12,0.1719,0.2569,0.0485
CMG,2020-01-12,13,0.2901,0.3369,0.098
CMG,2020-01-13,20,0.0632,0.4147,0.0362
CMG,2020-01-14,20,0.0538,0.4623,0.0616
CMG,2020-01-15,20,0.155,0.3356,0.0765
CMG,2020-01-16,16,0.1795,0.3446,0.0806
CMG,2020-01-17,20,0.141,0.42,0.0717
CMG,2020-01-18,15,0.2162,0.4907,0.0751
CMG,2020-01-19,10,0.224,0.0377,0.0992
CMG,2020-01-20,6,0.095,0.6556,0.0945
CMG,2020-01-21,20,-0.1074,0.4634,0.0374
CMG,2020-01-22,20,0.1105,0.4228,0.0696
CMG,2020-01-23,11,0.2292,0.327,0.0316
CMG,2020-01-24,20,-0.0109,0.4362,0.0463
CMG,2020-01-25,10,0.4257,0.2502,0.0286
CMG,2020-01-26,9,0.5097,0.2688,0.0341
CMG,2020-01-27,20,0.2036,0.3544,0.0347
CMG,2020-01-28,20,-0.1471,0.4171,0.0262
CMG,2020-01-29,20,0.3028,0.0881,0.1367
CMG,2020-01-30,20,-0.0267,0.2878,0.0005
CMG,2020-01-31,20,0.1131,0.2573,-0.0534
CMG,2020-02-01,17,0.1981,0.4606,0.0795
CMG,2020-02-02,10,0.1687,0.0916,0.0154
CMG,2020-02-03,20,0.0375,0.2429,0.017
CMG,2020-02-04,20,0.0466,0.3368,0.0037
CMG,2020-02-05,20,0.0729,0.1614,0.064
CMG,2020-02-06,20,-0.0451,0.3063,0.0171
CMG,2020-02-07,20,-0.1209,0.1663,0.0024
CMG,2020-02-08,9,0.0583,0.1429,0.1091
CMG,2020-02-09,18,0.1629,0.3721,-0.0027
CMG,2020-02-10,20,0.0909,0.3745,0.0289
CMG,2020-02-11,20,-0.0445,0.5587,0.0828
CMG,2020-02-12,20,0.0082,0.2179,-0.0015
CMG,2020-02-13,20,0.0067,0.4352,0.0417
CMG,2020-02-14,20,0.0329,0.1323,0.0421
CMG,2020-02-15,16,0.0263,0.4962,0.0907
CMG,2020-02-16,11,0.046,0.2946,0.1149
CMG,2020-02-17,10,0.176,0.5568,0.1005
CMG,2020-02-18,20,0.1373,0.529,0.0394
CMG,2020-02-19,20,0.0944,0.2628,0.0501
CMG,2020-02-20,20,0.0374,0.3793,0.0539
CMG,2020-02-21,13,0.0251,0.4041,0.0606
CMG,2020-02-22,9,0.2631,0.4114,0.0512
CMG,2020-02-23,10,0.3101,0.3611,0.0678
CMG,2020-02-24,20,-0.0538,0.2196,0.0175
CMG,2020-02-25,20,-0.1025,0.0741,-0.0859
CMG,2020-02-26,20,0.0126,0.1302,0.0471
CMG,2020-02-27,20,-0.1546,0.2496,0.0675
CMG,2020-02-28,20,-0.0289,0.3792,-0.0008
CMG,2020-02-29,17,-0.0385,0.2877,0.0451
CMG,2020-03-01,8,0.0636,0.0765,0.0684
CMG,2020-03-02,20,-0.1766,0.2374,-0.0229
CMG,2020-03-03,20,0.0083,0.2444,0.0322
CMG,2020-03-04,20,0.034,0.3221,0.0641
CMG,2020-03-05,20,-0.0857,0.2922,-0.0175
CMG,2020-03-06,20,0.0341,0.3286,0.0792
CMG,2020-03-07,12,0.152,0.3276,0.0704
CMG,2020-03-08,10,0.1171,0.2189,0.0621
CMG,2020-03-09,20,-0.1599,0.3672,-0.0072
CMG,2020-03-10,20,-0.0847,0.2841,0.1627
CMG,2020-03-11,20,-0.0959,0.2168,-0.0093
CMG,2020-03-12,20,-0.2021,0.321,0.0191
CMG,2020-03-13,20,-0.2723,0.3087,-0.0306
CMG,2020-03-14,13,0.0961,0.2545,0.1162
CMG,2020-03-15,20,-0.2306,0.2863,-0.014
CMG,2020-03-16,20,-0.1199,0.2798,0.0887
CMG,2020-03-17,20,-0.2038,0.2289,0.0332
CMG,2020-03-18,20,-0.0046,0.2993,0.0698
CMG,2020-03-19,20,-0.0546,0.46,-0.0351
CMG,2020-03-20,20,-0.1868,0.3208,0.0148
CMG,2020-03-21,20,0.0819,0.2863,0.0856
CMG,2020-03-22,20,-0.1888,0.2643,0.0196
CMG,2020-03-23,20,-0.0862,0.3099,-0.0021
CMG,2020-03-24,20,-0.0882,0.4327,0.0924
CMG,2020-03-25,20,-0.107,0.2982,0.1432
CMG,2020-03-26,20,-0.2179,0.1093,0.0199
CMG,2020-03-27,20,-0.2051,0.2673,-0.0125
CMG,2020-03-28,12,-0.0473,0.2216,0.0599
CMG,2020-03-29,16,-0.158,-0.1262,0.008
CMG,2020-03-30,20,-0.2165,0.1186,0.0506
CMG,2020-03-31,20,-0.0346,0.2869,0.0586
CMG,2020-04-01,20,0.0131,0.0974,0.098
CMG,2020-04-02,20,-0.1749,0.3193,0.019
CMG,2020-04-03,20,-0.0827,0.3442,0.0711
CMG,2020-04-04,13,0.1422,0.3336,0.1215
CMG,2020-04-05,12,0.1991,0.2482,0.0828
CMG,2020-04-06,20,0.0041,0.4182,-0.0235
CMG,2020-04-07,20,0.0675,0.2953,0.1098
CMG,2020-04-08,20,-0.2044,0.1339,0.0338
CMG,2020-04-09,20,0.0544,0.5772,0.0238
CMG,2020-04-10,19,0.077,0.1807,0.1679
CMG,2020-04-11,16,0.0248,0.3737,0.1456
CMG,2020-04-12,15,-0.1009,0.4664,0.0909
CMG,2020-04-13,20,0.0442,0.2333,0.057
CMG,2020-04-14,20,-0.0556,0.2926,0.0157
CMG,2020-04-15,20,-0.1639,0.211,0.0008
CMG,2020-04-16,20,-0.2064,0.2409,0.0
CMG,2020-04-17,20,-0.0111,0.3483,0.0116
CMG,2020-04-18,20,-0.0195,0.2749,0.0766
CMG,2020-04-19,20,0.1064,0.34,0.0467
CMG,2020-04-20,20,-0.1537,0.1419,0.0078
CMG,2020-04-21,20,-0.1685,0.2754,-0.0145
CMG,2020-04-22,20,-0.1443,0.178,0.02
CMG,2020-04-23,20,-0.0753,0.2595,0.0285
CMG,2020-04-24,20,0.1581,0.4227,0.0507
CMG,2020-04-25,20,0.0535,0.1902,0.0836
CMG,2020-04-26,20,-0.0313,0.1388,0.0651
CMG,2020-04-27,20,-0.2011,0.0916,-0.0305
CMG,2020-04-28,20,0.112,0.261,0.042
CMG,2020-04-29,20,0.0898,0.2917,0.0512
CMG,2020-04-30,20,-0.07,0.2922,-0.0262
CMG,2020-05-01,20,-0.0641,0.191,-0.0089
CMG,2020-05-02,13,0.0097,0.3596,0.0692
CMG,2020-05-03,20,0.0405,0.3296,0.1239
CMG,2020-05-04,20,-0.0019,0.1945,0.1131
CMG,2020-05-05,20,0.0574,0.3462,0.0604
CMG,2020-05-06,20,0.0895,0.0803,0.0306
CMG,2020-05-07,20,0.0507,0.4832,-0.0094
CMG,2020-05-08,20,0.1052,0.5323,0.045
CMG,2020-05-09,20,0.1049,0.3425,0.1169
CMG,2020-05-10,20,0.0107,0.2752,0.0894
CMG,2020-05-11,20,0.0503,0.1761,0.0676
CMG,2020-05-12,20,-0.0934,0.2123,0.0964
CMG,2020-05-13,20,-0.1261,-0.0203,0.012
CMG,2020-05-14,20,0.0564,0.3951,0.0256
CMG,2020-05-15,20,-0.0166,0.4197,0.0622
CMG,2020-05-16,20,-0.0524,0.3224,0.0502
CMG,2020-05-17,20,0.0172,0.3513,0.0817
CMG,2020-05-18,20,-0.0299,0.418,0.0587
CMG,2020-05-19,20,-0.0497,0.2692,0.0269
CMG,2020-05-20,20,-0.0198,0.2888,0.0077
CMG,2020-05-21,20,-0.0288,0.3412,-0.0121
CMG,2020-05-22,20,0.0028,0.4524,0.06
CMG,2020-05-23,20,0.1181,0.5283,0.1478
CMG,2020-05-24,20,-0.1139,0.2906,0.0366
CMG,2020-05-25,20,-0.1158,0.1063,0.086
CMG,2020-05-26,20,0.056,0.4183,0.0863
CMG,2020-05-27,20,-0.0391,0.4923,0.0231
CMG,2020-05-28,20,-0.0294,0.3265,-0.0168
CMG,2020-05-29,20,0.0161,0.2653,0.0193
CMG,2020-05-30,17,-0.0845,0.19,0.0484
CMG,2020-05-31,18,0.0385,0.3422,0.0998
CMG,2020-06-01,20,0.1756,0.4033,0.06
CMG,2020-06-02,20,0.0607,0.1609,0.0279
CMG,2020-06-03,20,0.1224,0.3284,0.0979
CMG,2020-06-04,20,-0.019,0.1775,0.05
CMG,2020-06-05,20,-0.0452,0.1753,0.0355
CMG,2020-06-06,20,0.1731,0.3329,0.053
CMG,2020-06-07,18,0.1491,0.3225,0.0669
CMG,2020-06-08,20,-0.0009,0.4558,-0.0308
CMG,2020-06-09,20,0.0048,0.3756,0.0605
CMG,2020-06-10,20,-0.1053,0.3185,0.0019
CMG,2020-06-11,20,-0.0401,0.3368,0.021
CMG,2020-06-12,20,0.0209,0.4721,0.059
CMG,2020-06-13,14,0.0204,0.3392,0.0781
CMG,2020-06-14,11,0.2394,0.4758,0.1603
CMG,2020-06-15,20,-0.0337,0.4695,0.0184
CMG,2020-06-16,20,-0.0521,0.3409,0.0558
CMG,2020-06-17,20,0.0851,0.3303,0.0506
CMG,2020-06-18,20,0.0074,0.3022,-0.0636
CMG,2020-06-19,20,-0.0107,0.3305,0.1246
CMG,2020-06-20,9,-0.1401,0.2848,0.0549
CMG,2020-06-21,11,0.0366,0.1777,0.1174
CMG,2020-06-22,20,0.0978,0.2179,0.1072
CMG,2020-06-23,20,-0.0069,0.3987,0.063
CMG,2020-06-24,20,-0.0542,0.1789,-0.0105
CMG,2020-06-25,20,-0.0081,0.2102,0.0182
CMG,2020-06-26,20,-0.2728,-0.1183,-0.0322
CMG,2020-06-27,10,0.1092,0.4055,0.0905
CMG,2020-06-28,15,0.0014,0.1854,-0.0072
CMG,2020-06-29,20,0.1649,0.3842,0.0431
CMG,2020-06-30,20,0.0327,0.4099,0.024
CMG,2020-07-01,20,0.2014,0.4231,0.0699
CMG,2020-07-02,20,-0.0146,0.3849,0.0806
CMG,2020-07-03,12,0.1471,0.3769,0.0137
CMG,2020-07-04,6,0.0787,0.3283,0.1575
CMG,2020-07-05,2,0.0559,0.3527,0.074
CMG,2020-07-06,20,0.0582,0.328,0.1367
CMG,2020-07-07,20,-0.0025,0.3728,0.0425
CMG,2020-07-08,20,-0.0503,0.338,0.038
CMG,2020-07-09,20,0.2976,0.3303,0.034
CMG,2020-07-10,20,0.0111,0.3888,0.0267
CMG,2020-07-11,9,-0.0253,0.2227,0.0719
CMG,2020-07-12,8,-0.0461,0.3484,0.0625
CMG,2020-07-13,20,0.0649,0.2534,0.046
CMG,2020-07-14,16,0.1185,0.2208,0.0689
CMG,2020-07-15,20,0.1884,0.4141,0.0359
CMG,2020-07-16,20,0.053,0.2211,0.0534
CMG,2020-07-17,20,0.0671,0.3761,0.0656
CMG,2020-07-18,20,0.01,0.4634,0.0619
CMG,2020-07-19,17,-0.0854,0.4352,0.0559
CMG,2020-07-20,20,0.1482,0.3402,0.0461
CMG,2020-07-21,20,-0.0115,0.1106,0.038
CMG,2020-07-22,20,-0.0512,0.1752,0.0773
CMG,2020-07-23,20,-0.0122,0.3994,0.0308
CMG,2020-07-24,20,-0.1254,0.243,-0.0041
CMG,2020-07-25,20,0.1545,0.3637,0.0834
CMG,2020-07-26,15,0.0484,0.2553,0.0868
CMG,2020-07-27,20,0.1176,0.2436,0.0608
CMG,2020-07-28,20,-0.0264,0.1175,0.0627
CMG,2020-07-29,20,-0.0271,0.1383,0.0271
CMG,2020-07-30,20,0.0561,0.4325,0.092
CMG,2020-07-31,20,0.0447,0.1121,0.1004
CMG,2020-08-01,15,-0.0546,0.4928,0.0579
CMG,2020-08-02,9,0.0814,0.3417,0.0831
CMG,2020-08-03,20,0.122,0.2766,0.0702
CMG,2020-08-04,20,-0.0107,0.2201,0.068
CMG,2020-08-05,20,-0.1886,0.1305,0.0053
CMG,2020-08-06,20,0.0859,0.2647,0.0604
